Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Охримович,Сергій,Петрович,Чоловіча,1964-01-07,Музичний редактор,село Чугуїв,"сквер Вільгельма Габсбурга, буд. 84 кв. 21, Вінниця, 12832",+380 93 166 35 85,shyianielysei@example.com
Франчук,Ілля,Богданович,Чоловіча,1957-08-10,Юрист,хутір Баранівка,"проспект Проектний 5-й, буд. 926, Копичинці, 58419",+380 88 815-01-38,andriishablii@example.org
Зінчук,Сергій,Іванович,Чоловіча,1994-12-10,Фермер,селище Помічна,"узвіз Сашка Хорошенка, буд. 23 кв. 523, Остер , 01953",+380 50 486-60-67,artymyshyniukhym@example.org
Шеремет,Маруся,Георгіївна,Жіноча,1996-03-18,Доцент,місто Красноград,"вулиця Троїцька, буд. 580 кв. 06, Луцьк, 86481",+380 44 929-15-76,bievdokymenko@example.org
Кащенко,Лесь,Степанович,Чоловіча,1955-03-12,Паралегал,хутір Першотравенськ,"сквер Ушинського, буд. 17 кв. 099, Заставна, 91790",+380 70 268-54-43,oteslenko@example.org
Овсієнко,Захар,Іванович,Чоловіча,1952-07-29,Фізик,село Рахів,"сквер Західний 1-й, буд. 237, Долинська, 01045",791-13-09,virahutsuliak@example.org
Салій,Ганна,Андріївна,Жіноча,1973-11-05,Географ,хутір Чоп,"сквер Шампанський, буд. 628 кв. 396, Березівка, 06190",+380 61 462 07 02,dashenkovolodymyr@example.org
Зінчук,Віктор,Тарасович,Чоловіча,1976-12-05,Дерун,хутір Борислав,"набережна Банний, буд. 72 кв. 37, Миколаїв, 68785",007 948 42 82,roksolana45@example.com
Гайдамака,Святослава,Романівна,Жіноча,1947-11-22,Бухгалтер,село Угнів,"шосе Адміральський, буд. 2, Зміїв, 70253",537 59 78,rstus@example.org
Цимбал,Юстим,Михайлович,Чоловіча,1979-05-25,Ботанік,хутір Кропивницький,"шосе Флотський 3-й, буд. 148 кв. 26, Скадовськ, 03712",+380 40 185-83-12,parmen01@example.org
Лисенко,Любов,Євгенівна,Жіноча,1975-08-09,Краєзнавець,село Вуглегірськ,"площа Горбатий міст, буд. 867, Добромиль, 45918",+380 93 071-31-26,skhorishko@example.net
Чуприна,Світлана,Тарасівна,Жіноча,1970-10-23,Скульптор,селище Городище ,"вулиця Ковалевського, буд. 184, Сулимівка (Слов'янськ), 17780",582 99 79,ievhenudovychenko@example.com
Бабиченко,Ярема,Володимирович,Чоловіча,1943-06-07,Ріелтор,селище Ізмаїл,"набережна Бузковий 1-й, буд. 4 кв. 5, Гайворон, 59808",+380 (52) 248-01-36,milenatkachenko@example.net
Гоголь-Яновська,Камілла,Андріївна,Жіноча,1953-10-07,Модельєр,хутір Таврійськ,"вулиця Локомотивний 4-й, буд. 093 кв. 2, Городня, 02991",016 589 62 49,bebeshkozlatoslava@example.net
Масляк,Трохим,Сергійович,Чоловіча,1964-04-09,Штукатур,хутір Дніпро ,"шосе Проценка, буд. 4 кв. 56, Шостка, 58185",491 29 14,iaremabairak@example.org
Проценко,Олександр,Олександрович,Чоловіча,1984-03-29,Ювелір,село Новояворівськ,"площа Зарічна, буд. 91, Сторожинець, 10771",+380 86 644 47 35,echumak@example.net
Полтавець,Демид,Георгійович,Чоловіча,1976-07-15,Фермер,село Березань ,"провулок Пересипська 6-та, буд. 13, Інкерман, 74376",+380 08 842-24-53,esvyrydenko@example.net
Єрмоленко,Демид,Павлович,Чоловіча,2007-06-02,Антрополог,хутір Ромни,"проспект Патріотична, буд. 0 кв. 1, Нова Каховка, 26186",+380 67 776-70-99,teodorkarmaliuk@example.org
Цюцюра,Гордій,Михайлович,Чоловіча,1980-04-28,Штукатур,хутір Біла Церква,"площа Чумацька, буд. 0 кв. 98, Глиняни, 51950",+380 85 325 55 11,kalchenkotymofii@example.com
Вакарчук,Святослав,Дмитрович,Чоловіча,1950-01-06,Ветеринар,хутір Єнакієве,"площа Студена, буд. 58, Жданівка, 20929",+380 05 735-30-66,nataliianestaiko@example.net
Баранник,Яків,Володимирович,Чоловіча,1962-03-24,Менеджер,місто Синельникове,"проспект Василя Кандинського 2-й, буд. 633, Добромиль, 49452",063 285-84-15,iukhym16@example.org
Бгиденко,Ганна,Тарасівна,Жіноча,1997-02-19,Каскадер,місто Прип'ять ,"проспект Полуничний, буд. 34, Ківерці, 56003",083 162-78-26,zakharzabara@example.org
Шутько,Станіслав,Степанович,Чоловіча,1938-10-05,Промисловець,хутір Ізяслав,"сквер Ювілейний 2-й, буд. 847, Брянка, 94273",084 991-01-80,zavdieienko@example.net
Ейбоженко,Ярина,Сергіївна,Жіноча,1949-05-16,Палеонтолог,хутір Бобринець,"парк Миколи Вороного, буд. 391, Сорокине, 76736",+380 (20) 261-51-87,romanchuknazar@example.org
Бевзенко,Варфоломій,Михайлович,Чоловіча,1999-08-22,Електрик,селище Новояворівськ,"сквер Херсонський, буд. 974, Хуст, 52119",+380 27 216-95-43,amaliiagerega@example.org
Савенко,Нестор,Павлович,Чоловіча,2001-12-29,Євнух,місто Шостка,"вулиця Садова 5-та, буд. 4 кв. 246, Зборів, 80830",016 653-14-51,demydbebeshko@example.org
Гавришкевич,Азар,Володимирович,Чоловіча,2006-08-12,Патологоанатом,село Чорнобиль,"провулок Андросовський, буд. 4 кв. 2, Вільногірськ, 65862",+380 38 390-37-93,zhadanustym@example.org
Девдюк,Марія,Сергіївна,Жіноча,1972-07-01,Кухар,селище Рубіжне,"проспект Нова, буд. 195, Зоринськ, 87855",096 08 14,zshynkarenko@example.com
Філіпенко,Ігор,Михайлович,Чоловіча,2000-04-06,Парфюмер,хутір Шостка,"шосе Дунаєвського 2-й, буд. 31, Ізмаїл, 17016",+380 31 313 30 54,spasonyshchenko@example.net
Оробець,Борис,Миколайович,Чоловіча,1941-12-21,Реабілітолог,місто Дніпрорудне,"набережна Радіальний, буд. 361 кв. 653, Синельникове, 59182",709 17 67,chalavalentyn@example.org
Христенко,Мілена,Павлівна,Жіноча,1938-12-11,Співак,місто Бориспіль,"шосе Амурський 2-й, буд. 88, Острог, 10655",034 723-10-00,udovenkoopanas@example.com
Фесенко,Ярема,Павлович,Чоловіча,1957-12-19,Бібліотекар,селище Путивль,"парк Пересипський міст, буд. 1 кв. 255, Миколаїв, 69215",706 65 92,dakhnokyrylo@example.com
Щириця,Христина,Михайлівна,Жіноча,1944-03-14,Маркетолог,селище Кам'янське,"проспект Житкова, буд. 1, Броди, 06910",+380 08 871-37-69,amaliiariabchenko@example.net
Фаренюк,Марина,Романівна,Жіноча,1973-10-02,Ді-джей,селище Джанкой,"провулок Лиманчик 2-й Лінія 5-та, буд. 1, Корюківка, 50422",872 81 47,kyrylo63@example.net
Килимник,Ярослав,Васильович,Чоловіча,1984-10-12,Ді-джей,хутір Нововолинськ,"узвіз Восьмого березня узвіз, буд. 9, Сновськ, 99655",064 429-37-19,khomahaievska@example.net
Лукаш,Аліна,Олександрівна,Жіноча,1979-11-17,Хореограф,селище Білопілля,"узвіз Куликове поле, буд. 0 кв. 97, Здолбунів, 59796",+380 05 276 79 04,oleksandr16@example.org
Скорик,Мирон,Іванович,Чоловіча,1977-04-05,Фольклорист,село Снігурівка,"площа Люстдорфська дорога, буд. 370 кв. 79, Біла Церква, 64849",625-64-01,ivanbatih@example.com
Забарний,Симон,Сергійович,Чоловіча,1997-05-04,Дизайнер,місто Хотин,"проспект Литовська, буд. 953 кв. 441, Снятин, 15393",057 262 97 61,bohuslavadeineka@example.org
Адаменко,Тетяна,Георгіївна,Жіноча,1965-05-19,Паралегал,село Білозерське,"узвіз Набережна, буд. 12 кв. 90, Соснівка , 66329",+380 71 100-74-71,borysdatsiuk@example.org
Дзюба,Юстим,Романович,Чоловіча,1941-12-08,Кінокритик,село Жидачів,"проспект Купріна, буд. 070 кв. 370, Звенигородка, 50596",031 608-48-79,siemelianenko@example.net
Данильчук,Борис,Васильович,Чоловіча,1996-01-28,Сценарист,село Мирноград,"узвіз Слов'янська, буд. 62, Новий Калинів, 05419",+380 76 379-32-77,odarka69@example.com
Дахно,Роман,Георгійович,Чоловіча,1974-06-03,Фрілансер,місто Ізюм,"набережна Ковалевського, буд. 93 кв. 04, Вилкове, 21015",072 865-42-95,hutsuliakstefan@example.net
Вернидуб,Соломон,Тарасович,Чоловіча,1961-03-04,Юрист,село Ланівці,"сквер Косий, буд. 521, Пологи , 22367",047 315 43 24,avreliitalan@example.net
Масляк,Віолетта,Олегівна,Жіноча,1995-01-19,Прокурор,селище Слов'янськ,"площа Житкова, буд. 628 кв. 6, Бершадь, 43861",+380 98 279 07 57,edyta13@example.org
Фаренюк,Богданна,Павлівна,Жіноча,2006-05-01,Фольклорист,місто Селидове,"шосе Рекордний, буд. 26 кв. 052, Херсон, 20415",095 714 78 22,fedir09@example.com
Ребрик,Артем,Васильович,Чоловіча,1954-09-05,Електромонтер,хутір Оріхів,"сквер Басейний 4-й, буд. 63 кв. 128, Рава-Руська, 24687",057 098-20-89,qkhomyk@example.com
Закусило,Дан,Юрійович,Чоловіча,1984-10-15,Актор,село Дубно,"провулок Тарутинська, буд. 1, Корсунь-Шевченківський, 40142",+380 18 059-64-70,tnehoda@example.org
Андрійович,Лесь,Михайлович,Чоловіча,1979-01-09,Електротехнік,хутір Чоп,"сквер Лунний, буд. 6 кв. 73, Новгород-Сіверський, 55712",+380 28 615 48 65,yhuzii@example.com
Зайченко,Соломія,Сергіївна,Жіноча,1988-06-28,Паблік рилейшнз,селище Скадовськ,"сквер Оборони Ленінграду, буд. 178 кв. 4, Перечин, 60164",076 718 19 77,orest74@example.net
Олійник,Лукʼян,Миколайович,Чоловіча,1975-12-25,Гінеколог,селище Верхівцеве,"набережна Матроська Слобідка, буд. 574 кв. 145, Луцьк, 37488",+380 92 219-86-06,piashchenko@example.org
Гузенко,Августин,Богданович,Чоловіча,1940-04-08,Продюсер,місто Гірник ,"сквер Аптекарський, буд. 4, Новоукраїнка, 78357",068 659 18 01,pavlenkoviktoriia@example.com
Андрійович,Пріска,Миколаївна,Жіноча,1985-12-21,Редактор,хутір Сіверськ,"провулок Космонавтів, буд. 2, Кіцмань, 01309",093 019 63 14,marko52@example.org
Баштан,Вадим,Володимирович,Чоловіча,1943-07-04,Філолог,селище Вишгород,"провулок Оборони Ленінграду, буд. 80 кв. 25, Болград, 29721",+380 (29) 883-06-96,marusia33@example.com
Арсенич,Миколай,Вікторович,Чоловіча,1969-01-14,Антрополог,село Підгайці,"узвіз Студентський 1-й, буд. 04 кв. 1, Ладижин, 99767",+380 02 950 14 67,babiukiosyp@example.org
Ґереґа,Олесь,Вікторович,Чоловіча,1948-11-13,Бібліотекар,селище Рудки,"вулиця Мала Арнаутська, буд. 991 кв. 78, Енергодар, 28031",+380 57 081 42 88,wandriishyna@example.net
Бандура,Олекса,Сергійович,Чоловіча,2000-12-06,Археолог,село Карлівка,"парк Рульовий, буд. 332 кв. 67, Теребовля, 42841",+380 27 835-06-04,ydzhus@example.net
Заруба,Юстина,Юріївна,Жіноча,1997-09-19,Фармацевт,селище Ізяслав,"шосе Літня, буд. 582 кв. 1, Харків, 65415",+380 28 644-29-93,albert16@example.net
Гайда,Стефан,Петрович,Чоловіча,1966-06-14,Режисер,хутір Таврійськ,"проспект Тіниста, буд. 92 кв. 790, Ромни, 87060",+380 61 027-10-62,terezashylo@example.com
Ґереґа,Валентин,Іванович,Чоловіча,1953-05-09,Філолог,місто Бурштин ,"вулиця Маяковського, буд. 901 кв. 187, Арциз, 66630",096 907-36-31,kmykytiuk@example.org
Єщенко,Марта,Олегівна,Жіноча,2005-11-09,Кур'єр,село Карлівка,"вулиця Басейний 6-й, буд. 93 кв. 9, Авдіївка, 95607",231-29-82,herman22@example.org
Оберемко,Микита,Іванович,Чоловіча,2003-02-23,Різноробочий,хутір Очаків,"узвіз Лінія 53-тя, буд. 9, Вишгород, 48874",+380 99 128-81-48,sriaboshapka@example.net
Гайворонська,Святослава,Сергіївна,Жіноча,1979-06-04,Державний службовець,селище Корюківка,"площа Василя Кандинського, буд. 64 кв. 7, Горохів, 16937",065 792 14 39,mbabenko@example.com
Бабич,Давид,Євгенович,Чоловіча,1959-11-24,Кінорежисер,хутір Дружба ,"площа Депутатський, буд. 38 кв. 06, Кобеляки, 33992",+380 41 070-70-22,edrobakha@example.net
Жайворон,Руслан,Павлович,Чоловіча,1991-08-12,Будник,селище Новоград-Волинський,"вулиця Виставочна, буд. 001, Гола Пристань, 96811",+380 70 769 29 58,ihavryshkevych@example.net
Прокопович,Макар,Петрович,Чоловіча,1982-06-08,Намотувальник,місто Ковель,"вулиця Тимірязєва 3-й, буд. 22, Бобринець, 42717",689 13 71,zhuraveliosyp@example.com
Литвиненко,Данна,Петрівна,Жіноча,1993-06-23,Лікар,село Корець,"набережна Каховський, буд. 1 кв. 14, Берислав, 12315",495 84 18,amvrosiiavdieienko@example.com
Гаврилів,Кирило,Олегович,Чоловіча,1998-12-29,Психолог,село Кам'янка (Черкаська область),"узвіз Ціолковського, буд. 3 кв. 7, Добромиль, 85863",+380 35 297-47-87,alla80@example.org
Чорновіл,Одарка,Володимирівна,Жіноча,1941-09-15,Зоолог,село Олександрівськ,"площа Левітана, буд. 21 кв. 36, Золоте, 91270",+380 37 405-12-72,viacheslavprykhodko@example.net
Кириленко,Наталія,Миколаївна,Жіноча,1970-08-11,Редактор,село Привілля,"вулиця Зелена, буд. 97, Дебальцеве, 18437",026 827 78 36,shyianbohdan@example.org
Рудик,Лариса,Сергіївна,Жіноча,2000-05-18,Музичний редактор,місто Золоте,"вулиця Орликова, буд. 1 кв. 32, Білгород-Дністровський, 78775",057 733-17-68,valeriimazepa@example.org
Юрченко,Богуслав,Сергійович,Чоловіча,1958-06-28,Архітектор,хутір Новий Розділ,"набережна Усатівська, буд. 17, Біляївка, 79627",079 411 85 15,bezborodkoorest@example.org
Вітер,Гордій,Петрович,Чоловіча,1955-12-25,Паралегал,село Біла Церква,"провулок Пересипський міст, буд. 8 кв. 563, Керч, 10947",+380 41 972-29-59,uvermenych@example.com
Гупало,Соломія,Тарасівна,Жіноча,1959-09-29,Флорист,селище Судова Вишня,"сквер 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 8, Хрестівка, 91712",337 52 66,cbazylevskyi@example.org
Худобʼяк,Єва,Сергіївна,Жіноча,2005-08-16,Палеонтолог,місто Погребище,"вулиця Леонтовича, буд. 5 кв. 12, Вилкове, 09085",+380 84 738 18 49,oksanaabramchuk@example.net
Андріїшин,Ганна,Юріївна,Жіноча,1945-06-26,Педагог,село Городенка,"провулок Івана Франка, буд. 0, Володимир-Волинський, 22454",015 764-79-72,priska28@example.net
Кабаненко,Валентин,Тарасович,Чоловіча,1949-10-10,Стоматолог,місто Судак ,"площа Спартаківський, буд. 213, Чуднів, 57291",+380 00 210-87-76,vilienko@example.net
Данько,Наталія,Богданівна,Жіноча,1983-07-04,Мірошник,хутір Коломия,"провулок Удільний, буд. 01 кв. 899, Армянськ, 60205",033 790 70 24,nprotsenko@example.net
Цимбалюк,Роксолана,Сергіївна,Жіноча,1967-12-09,Фольклорист,місто Федорівка,"парк Бессарабська, буд. 38 кв. 07, Ясинувата, 49424",604 08 30,okseniia24@example.net
Вакарчук,Ольга,Андріївна,Жіноча,1975-10-09,Складальник,селище Баранівка,"провулок Лінія 52-га, буд. 62 кв. 6, Тальне, 18823",465 70 39,chervonenkomykhailyna@example.net
Мазур,Гордій,Петрович,Чоловіча,1958-03-15,Співак,хутір Роздільна,"набережна Іцхака Рабіна, буд. 271, Трускавець, 35197",498-34-63,vasyl05@example.org
Вахній,Валентина,Георгіївна,Жіноча,1950-10-31,Зоолог,село Шумськ,"набережна Тіниста, буд. 9, Керч, 65809",+380 76 577-38-83,danylo64@example.org
Башполченко,Михайлина,Іванівна,Жіноча,1992-03-31,Живописець,місто Харцизьк,"проспект Скляний 1-й, буд. 6, Снятин, 20325",+380 26 745 69 85,sviatoslava13@example.net
Яценюк,Єва,Вікторівна,Жіноча,1949-10-26,Реставратор,село Ямпіль,"проспект Офіцерський 1-й, буд. 0 кв. 08, Галич, 82284",+380 90 769-56-66,darynaartymyshyn@example.org
Притула,Максим,Дмитрович,Чоловіча,1962-10-06,Лікар,хутір Татарбунари,"сквер Марсельська, буд. 0, Горохів, 86493",031 62 55,pavlo93@example.net
Чуйко,Богуслава,Володимирівна,Жіноча,1956-03-12,Музикант,хутір Охтирка,"проспект Політкаторжан, буд. 816 кв. 2, Ходорів, 69180",087 535-98-13,vatroshchenko@example.net
Сірченко,Григорій,Вікторович,Чоловіча,1957-07-03,Державний службовець,місто Южноукраїнськ,"сквер Курортний 6-й, буд. 61, Глухів, 01315",+380 (85) 297-97-20,mykhailokharchenko@example.org
Гоголь,Богодар,Сергійович,Чоловіча,1966-06-09,Швачка,село Шпола,"провулок Заводська 3-тя, буд. 428 кв. 8, Радомишль, 75413",049 641 44 40,les05@example.net
Гузь,Федір,Володимирович,Чоловіча,1993-01-31,Дизайнер,селище Полтава,"набережна Дачний 2-й, буд. 75 кв. 785, Горлівка, 95290",047 970-26-56,mariia42@example.net
Яремко,Ростислав,Вікторович,Чоловіча,1988-03-31,Локсмайстер,хутір Шаргород,"парк Гаршина, буд. 8 кв. 14, Монастирище, 92279",+380 28 340-36-41,shtokalotereza@example.org
Джус,Пармен,Романович,Чоловіча,1980-06-20,Фермер,хутір Бершадь,"парк Гагарінське плато, буд. 70, Географія Вільнянська, 84939",+380 80 165-86-04,dmytro13@example.org
Черненко,Богдан,Сергійович,Чоловіча,1971-03-31,Парфюмер,хутір Жовті Води,"площа Крайня, буд. 1 кв. 4, Тетіїв, 42420",055 957 34 86,hordii51@example.com
Бандурка,Данна,Тарасівна,Жіноча,1962-05-04,Модельєр,хутір Вараш,"вулиця Першотравневий 2-й, буд. 0 кв. 414, Почаїв, 73760",+380 (59) 190-45-50,tarasenkosvitlana@example.org
Юрчишин,Орхип,Павлович,Чоловіча,1962-07-14,Стропальник,місто Южноукраїнськ,"проспект Кавунова, буд. 61 кв. 611, Олександрія, 90386",037 681-24-68,xmatiash@example.net
Петрик,Пріска,Сергіївна,Жіноча,1982-07-20,Бухгалтер,хутір Лохвиця,"проспект Каховський, буд. 25 кв. 57, Берестечко, 90636",241-21-37,illiaakymenko@example.org
Корж,Алевтин,Іванович,Чоловіча,1997-02-07,Різноробочий,селище Городок,"парк Зелена гірка, буд. 38 кв. 66, Обухів, 84246",099 99 00,larysaperebyinis@example.net
Хорішко,Роксолана,Євгенівна,Жіноча,1986-11-05,Кінорежисер,місто Броди,"проспект Капітана Кузнецова, буд. 0 кв. 643, Кривий Ріг, 68499",716-82-58,myronovsiienko@example.com
Бабʼюк,Олександр,Михайлович,Чоловіча,1984-10-10,Астрофізик,хутір Красногорівка,"площа Глазунова 1-й, буд. 717, Інкерман, 86373",+380 33 626-68-08,artemieresko@example.org
Вдовиченко,Тереза,Дмитрівна,Жіноча,1999-10-16,Нотаріус,місто Шахтарськ,"набережна Чернігівська, буд. 30 кв. 675, Берислав, 74060",054 140-68-08,vvashchuk@example.net
Кащенко,Роман,Михайлович,Чоловіча,1948-06-15,Фізик,хутір Кам'янське,"парк 10-та Лінія Марії Демченко, буд. 21 кв. 2, П'ятихатки, 51905",007 942-86-49,lesshvedchenko@example.net
Жадан,Владислав,Сергійович,Чоловіча,1941-10-13,Паблік рилейшнз,селище Звенигородка,"набережна Сливова, буд. 9 кв. 93, Середина-Буда, 10454",+380 31 357-13-15,boliinyk@example.org
Гоголь,Ігнат,Георгійович,Чоловіча,1981-07-21,Модельєр,хутір Сімферополь,"шосе Асташкіна, буд. 4, Лутугине, 93709",009 561-62-70,orest72@example.org
Колодуб,Орися,Богданівна,Жіноча,1993-10-16,Клавішник,селище Болехів,"вулиця Дем’янова, буд. 87, Олександрія, 32497",+380 (94) 008-91-87,fiaremko@example.org
Цюпа,Сергій,Андрійович,Чоловіча,1977-12-14,Випробувач,місто Любомль,"проспект Кривобалківська, буд. 31, Тернопіль, 28323",031 691-98-47,zatulaavhustyn@example.org
Жайворон,Тимофій,Романович,Чоловіча,2001-06-23,Державний службовець,хутір Пустомити,"парк Лізи Чайкіної, буд. 7 кв. 750, Турка, 78072",633-57-10,liliiafesenko@example.org
Вівчаренко,Богданна,Євгенівна,Жіноча,1946-08-30,Дизайнер,селище Тростянець,"площа Олександра Невського, буд. 02, Кілія, 29729",797-14-32,leon14@example.net
Носенко,Людмила,Петрівна,Жіноча,1991-05-13,Флорист,селище Знам'янка,"парк Травневий 5-й, буд. 855, Броди, 93365",066 123 62 36,valeriivermenych@example.com
Павличенко,Марина,Андріївна,Жіноча,1984-06-02,Євнух,селище Корсунь-Шевченківський,"провулок Мала Садова, буд. 54 кв. 10, Козятин, 70296",+380 (48) 807-55-05,hanna00@example.org
Годунок,Зиновій,Васильович,Чоловіча,1986-12-10,Філолог,село Калуш,"вулиця Китобійна, буд. 3 кв. 7, Кропивницький, 50785",535 51 01,dubynamilena@example.com
Чуприна,Юстина,Олегівна,Жіноча,1990-11-10,Палеонтолог,місто Берестечко,"вулиця Івана Франка, буд. 414, Збараж, 27394",+380 86 448-72-52,ebandurka@example.net
Чміль,Костянтин,Іванович,Чоловіча,1971-08-11,Швачка,хутір Алмазна,"провулок Нова, буд. 652 кв. 232, Малин, 11498",062 133 80 14,dmytro75@example.net
Гречко,Омелян,Степанович,Чоловіча,1967-03-07,Провізор,місто Ясинувата,"шосе Кільовий, буд. 947, Сімферополь, 20765",092 589 40 96,adaonufriienko@example.net
Власенко,Хома,Тарасович,Чоловіча,1980-11-10,Сантехнік,хутір Довжанськ,"проспект Липнева, буд. 88, Яготин, 81755",+380 90 151-20-19,hanna20@example.org
Швачко,Тарас,Юрійович,Чоловіча,1988-03-30,Ювелір,село Червоноград,"шосе Волоколамська, буд. 108, Вугледар, 54369",610 90 36,tymofiibaranets@example.com
Шовкопляс,Спас,Миколайович,Чоловіча,1965-03-11,Доцент,село Трускавець,"сквер Старицького, буд. 2, Баранівка, 48794",+380 45 920-16-09,ybarabash@example.org
Артимишин,Святослава,Дмитрівна,Жіноча,1952-09-11,Хореограф,селище Белз,"проспект Восьмого Березня Лінія 2-га, буд. 37, Жовті Води, 40246",057 034-70-08,liliiahrechanyk@example.net
Лупій,Герман,Іванович,Чоловіча,1966-05-20,Сценарист,місто Сіверськ,"шосе Сергія Ейзенштейна, буд. 430 кв. 94, Гнівань, 72854",022 442 22 18,qzaichenko@example.org
Франчук,Вʼячеслав,Романович,Чоловіча,1996-08-21,Астронавт,селище Сквира,"вулиця Пересипська 3-тя, буд. 395 кв. 5, Могилів-Подільський, 25099",+380 (04) 423-74-23,bohdanhavryliuk@example.org
Шахрай,Святослав,Тарасович,Чоловіча,1949-01-31,Вчитель,селище Кролевець,"сквер Івахненка Петра, буд. 98 кв. 073, Ямпіль, 41925",+380 (86) 043-42-02,leonromanchuk@example.com
Єрмоленко,Антон,Сергійович,Чоловіча,1962-09-25,Електротехнік,місто Південне ,"провулок Ветеранів праці, буд. 623 кв. 2, Болехів, 70218",058 471 84 04,chuzii@example.org
Шморгун,Святослава,Михайлівна,Жіноча,1972-04-06,Шериф,селище Ужгород,"узвіз Моторний 3-й, буд. 658, Заліщики, 45600",672 22 33,mariana44@example.org
Юхименко,Адам,Богданович,Чоловіча,1954-01-19,Режисер,місто Ржищів,"набережна Єліна, буд. 27 кв. 3, Сквира, 68698",+380 04 317-09-27,mhaidai@example.net
Харченко,Аркадій,Тарасович,Чоловіча,1995-04-07,Громадський діяч,хутір Боково-Хрустальне,"сквер Космонавтів, буд. 656, Пустомити, 65052",+380 88 138-86-55,zynoviialeksiichuk@example.net
Гаєвська,Василина,Володимирівна,Жіноча,1978-12-01,Фермер,село Ананьїв,"парк Травневий 3-й, буд. 35 кв. 8, Борислав, 78547",768 20 66,vasylynaskorobohatko@example.net
Гавриленко,Камілла,Романівна,Жіноча,2003-10-05,Прокурор,село Новоселиця,"парк Котляревського, буд. 63 кв. 60, Носівка, 35811",+380 50 007-25-89,danyliukvasyl@example.org
Гузенко,Єлисей,Степанович,Чоловіча,1956-02-15,Флорист,село Корець,"сквер Південно-Санаторний, буд. 2 кв. 93, Білопілля, 26402",374-80-46,iashchukveniiamyn@example.com
